,LOB,CategoryRetail,subcategory,category,division,WhsCode,SaleWithoutTax,SaleTarget,TargetAchv,Targetshortfall,TMSalesMix,LMSalesMix,SaleWithoutTax_l,momsale,SaleWithoutTax_p,yoysale,tgt_margin,margin,lm_margin,ly_margin,mom_margin,asp_tm,asp_lm,asp_mom,nm%achv,yoynm%,RGM,RGMTarget,rgmachv,RGM_l,rgmmom,RGM_p,rgmyoy,FinalValueDamaged,TGTDamage,damageachv%,damage_to_sale,FinalValueDamaged_l,damage_mom,FinalValueDamaged_p,damage_yoy,FinalValueFreshDump,TGTFreshDump,freshdumpachv%,freshdump_to_sale,FinalValueFreshDump_l,freshdump_mom,FinalValueFreshDump_p,freshdump_yoy,FinalValueShrinkage,TGTShrinkage,shrinkageachv%,shrinkage_to_sale,FinalValueShrinkage_l,shrinkage_mom
10,Food,STAPLE,Fine flours,Atta & flours,Staple,STR01,12582.59,30185.18,41.68,-17602.59,1.51,1.0,3180.02,295.68,52758.17,-76.15,3.02,1.98,-3.93,-50.96,5.91,165.15,139.12,0.19,65.64,52.94,249.12,910.43,27.36,-125.02,-299.26,-26883.33,-100.93,562.44,135.83,414.08,4.47,120.45,366.95,0.0,0.0,0.0,38.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.34,0.0,0.0,0.0,0.0
11,Food,STAPLE,Special purpose flours,Atta & flours,Staple,STR01,61.9,347.47,17.81,-285.57,0.01,0.0,0.0,0.0,212.39,-70.86,37.51,27.72,0.0,20.18,0.0,65.0,0.0,0.0,73.92,7.54,17.16,130.32,13.17,0.0,0.0,42.87,-59.97,0.0,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.39,0.0,0.0,0.0,0.0
12,Food,FMCG NON FOOD,Baby body care,Baby bath & hygiene,FMCG Non Food,STR01,585.74,0.0,0.0,0.0,0.07,0.33,1043.67,-43.88,404.44,44.83,0.0,9.53,13.43,13.49,-3.91,86.39,246.3,-0.65,0.0,-3.97,55.8,0.0,0.0,140.18,-60.19,54.57,2.25,243.57,0.0,0.0,41.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Food,FMCG FOOD,Baby cereal,Baby food & formulas,FMCG Food,STR01,223.73,250.07,89.47,-26.34,0.03,0.13,416.94,-46.34,0.0,0.0,1.38,6.73,5.5,0.0,1.23,264.0,246.0,0.07,489.01,0.0,15.05,3.44,437.5,22.92,-34.34,0.0,0.0,0.0,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
14,Other,Other,Accessories,Bags & travel accessories,Supply Non Trade,STR01,915.94,1746.37,52.45,-830.43,0.11,0.07,224.0,308.9,1073.27,-14.66,2.0,5.07,46.29,-1.87,-41.22,19.0,14.0,0.36,253.93,6.94,46.44,34.87,133.18,103.68,-55.21,-20.03,-331.85,0.0,7.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.96,0.0,0.0,0.0,0.0
15,Home Fashion,Luggage,Bags & accessories,Bags & travel accessories,Home Fashion,STR01,2208.18,4041.59,54.64,-1833.41,0.26,1.24,3930.84,-43.82,2582.23,-14.49,18.19,-5.44,16.11,26.23,-21.55,519.0,1159.6,-0.55,-29.88,-31.66,-120.03,735.33,-16.32,633.34,-118.95,677.23,-117.72,0.0,18.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.11,0.0,0.0,0.0,0.0
16,Home Fashion,Luggage,Hard trolley,Bags & travel accessories,Home Fashion,STR01,13886.45,36868.76,37.66,-22982.31,1.67,3.14,9974.43,39.22,10591.04,31.12,17.49,22.56,15.97,14.07,6.6,5462.0,2942.46,0.86,129.01,8.5,3133.28,6448.45,48.59,1592.76,96.72,1489.73,110.33,0.0,165.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.99,0.0,0.0,0.0,0.0
17,Home Fashion,Luggage,Soft trolley,Bags & travel accessories,Home Fashion,STR01,10308.29,27673.08,37.25,-17364.79,1.24,0.35,1100.72,836.5,1117.64,822.33,8.5,25.61,14.99,20.01,10.62,3040.94,1298.85,1.34,301.31,5.6,2639.66,2351.79,112.24,165.0,1499.79,223.64,1080.32,0.0,124.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.33,0.0,0.0,0.0,0.0
18,Food,BAKERY DAIRY & FROZEN,Rusk & khari,Baked cookies rusk & more,Bakery Dairy & Frozen,STR01,112.07,1129.04,9.93,-1016.97,0.01,0.01,47.14,137.74,1137.03,-90.14,7.97,23.65,16.65,15.17,7.0,62.5,49.5,0.26,296.98,8.49,26.51,89.93,29.48,7.85,237.71,172.45,-84.63,0.0,5.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0
19,Food,BAKERY DAIRY & FROZEN,Unbranded cookies,Baked cookies rusk & more,Bakery Dairy & Frozen,STR01,275.31,1515.96,18.16,-1240.65,0.03,0.05,170.35,61.61,813.28,-66.15,5.97,29.14,21.0,22.34,8.14,99.0,40.2,1.46,487.77,6.8,80.23,90.57,88.58,35.77,124.29,181.67,-55.84,0.0,6.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.04,0.0,0.0,0.0,0.0
20,Food,BAKERY DAIRY & FROZEN,Cakes & muffins,Bakery & dairy,Bakery Dairy & Frozen,STR01,7.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.14,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Food,BAKERY DAIRY & FROZEN,Dairy,Bakery & dairy,Bakery Dairy & Frozen,STR01,10201.49,0.0,0.0,0.0,1.22,0.44,1403.86,626.67,0.0,0.0,0.0,1.51,-0.88,0.0,2.38,30.49,32.5,-0.06,0.0,0.0,153.67,0.0,0.0,-12.32,-1347.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Food,BAKERY DAIRY & FROZEN,Cakes & muffins,Bakery snacks muffins & cake slices,Bakery Dairy & Frozen,STR01,218.13,324.61,67.2,-106.48,0.03,0.0,0.0,0.0,248.52,-12.23,3.17,20.16,0.0,17.64,0.0,64.35,0.0,0.0,636.04,2.52,43.98,10.29,427.41,0.0,0.0,43.85,0.3,0.0,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,0.0,0.0,0.0,0.0
23,Home Fashion,Home Fashion,Towels,Bath linen & towel,Home Fashion,STR01,7121.84,20167.68,35.31,-13045.84,0.85,0.38,1191.42,497.76,5447.78,30.73,9.28,27.04,24.12,20.32,2.92,267.07,625.5,-0.57,291.23,6.72,1925.74,1872.52,102.84,287.42,570.01,1106.74,74.0,0.0,90.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.41,0.0,0.0,0.0,0.0
24,GM HARDLINES,Electronics,Lighting needs,Battery & bulbs,GM Hardlines,STR01,1735.27,3688.25,47.05,-1952.98,0.21,0.08,260.16,567.0,1978.25,-12.28,11.46,2.35,14.75,26.62,-12.4,93.07,76.75,0.21,20.47,-24.27,40.73,422.81,9.63,38.37,6.15,526.55,-92.26,0.0,16.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,0.0,0.0,0.0,0.0
25,Home Fashion,Home Fashion,Bedsheets,Bed linen,Home Fashion,STR01,10350.17,18881.91,54.82,-8531.74,1.24,0.63,1997.81,418.08,3328.62,210.94,8.69,11.49,20.96,14.02,-9.47,472.51,419.54,0.13,132.26,-2.52,1189.75,1641.07,72.5,418.81,184.08,466.62,154.97,0.0,84.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.17,0.0,0.0,0.0,0.0,0.0,0.0,-47.58,75.28,-63.2,-0.46,0.0,0.0
26,Home Fashion,Home Fashion,Blankets  quilts  &  dohars,Bed linen,Home Fashion,STR01,2172.31,7474.6,29.06,-5302.29,0.26,0.0,0.0,0.0,282.86,667.98,3.05,22.03,0.0,28.94,0.0,779.04,0.0,0.0,721.37,-6.91,478.63,228.3,209.65,0.0,0.0,81.86,484.69,0.0,33.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.8,0.0,0.0,0.0,0.0
27,GM Home,Plastic,Bathroom,Bins & bathroom ware,GM Houseware,STR01,1439.65,3525.55,40.83,-2085.9,0.17,0.08,253.39,468.16,1248.35,15.32,26.78,14.6,39.65,22.94,-25.04,84.94,299.0,-0.72,54.53,-8.34,210.23,944.09,22.27,100.46,109.27,286.37,-26.59,0.0,15.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.06,0.0,0.0,0.0,0.0
28,Food,FMCG FOOD,Biscuits,Biscuits & cookies,FMCG Food,STR01,15261.2,45208.15,33.76,-29946.95,1.83,1.56,4961.12,207.62,17783.46,-14.18,0.7,-7.26,10.86,-1.55,-18.12,48.92,27.27,0.79,-1031.23,-5.71,-1107.44,318.12,-348.12,539.02,-305.45,-275.46,302.03,288.16,203.44,141.64,1.89,0.0,0.0,0.0,0.0,0.0,57.88,0.0,0.0,0.0,0.0,0.0,0.0,-162.34,180.24,-90.07,-1.06,0.0,0.0
29,Food,FMCG FOOD,Digestive & crakers,Biscuits & cookies,FMCG Food,STR01,31.78,21.45,148.16,10.33,0.0,0.0,0.0,0.0,0.0,0.0,2.1,-9.31,0.0,0.0,0.0,18.75,0.0,0.0,-443.97,0.0,-2.96,0.45,-657.78,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0
30,GM HARDLINES,Toys,Educational toys,Board games & puzzles,GM Hardlines,STR01,119.73,2789.34,4.29,-2669.61,0.01,0.13,400.89,-70.13,395.7,-69.74,18.17,22.65,21.18,19.89,1.48,134.1,449.0,-0.7,124.64,2.76,27.12,506.92,5.35,84.89,-68.05,78.7,-65.54,0.0,12.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.12,0.0,0.0,0.0,0.0
31,Food,BAKERY DAIRY & FROZEN,Bread,Bread & buns,Bakery Dairy & Frozen,STR01,4290.51,1781.43,240.85,2509.08,0.51,0.33,1035.92,314.17,2427.3,76.76,2.28,24.08,20.42,13.06,3.66,26.18,23.88,0.1,1054.97,11.02,1033.11,40.66,2540.85,211.52,388.42,317.1,225.8,0.0,8.02,0.0,0.0,163.2,0.0,0.0,0.0,0.0,2.28,0.0,0.0,0.0,0.0,606.0,0.0,0.0,7.1,0.0,0.0,0.0,0.0
32,Food,BAKERY DAIRY & FROZEN,Dairy,Butter & cheese,Bakery Dairy & Frozen,STR01,5558.75,52045.18,10.68,-46486.43,0.67,1.04,3287.98,69.06,13403.46,-58.53,1.49,-4.44,1.16,-0.58,-5.6,124.13,147.25,-0.16,-297.45,-3.86,-246.97,777.39,-31.77,38.07,-748.73,-78.05,216.43,0.0,234.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.5,0.0,0.0,0.0,0.0
33,GM HARDLINES,Toys,Motion toys,Cars & tracksets,GM Hardlines,STR01,1817.5,0.0,0.0,0.0,0.22,0.21,677.12,168.42,266.96,580.81,0.0,21.17,19.51,20.21,1.66,678.53,799.0,-0.15,0.0,0.96,384.83,0.0,0.0,132.12,191.27,53.96,613.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Food,FMCG FOOD,Breakfast cereals,Cereals oats & muesli,FMCG Food,STR01,6506.04,7091.12,91.75,-585.08,0.78,0.67,2120.92,206.76,6594.33,-1.34,0.7,0.19,8.79,-10.46,-8.59,183.99,145.77,0.26,27.41,10.65,12.55,49.9,25.15,186.37,-93.27,-689.76,-101.82,0.0,31.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.27,0.0,0.0,0.0,0.0
35,Food,BAKERY DAIRY & FROZEN,Poultry,Chicken,Bakery Dairy & Frozen,STR01,8519.04,0.0,0.0,0.0,1.02,4.28,13592.92,-37.33,8403.54,1.37,0.0,-11.34,-8.75,24.5,-2.6,193.7,192.12,0.01,0.0,-35.84,-966.46,0.0,0.0,-1189.27,-18.74,2058.66,-146.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1841.73,0.0,0.0,-21.62,-74.4,2375.29
36,Food,FMCG FOOD,Confectionery,Chocolates,FMCG Food,STR01,9800.45,23925.64,40.96,-14125.19,1.18,1.05,3344.06,193.07,10254.5,-4.43,0.7,13.97,13.56,8.01,0.41,43.55,39.66,0.1,1984.95,5.96,1368.9,168.36,813.08,453.47,201.87,820.88,66.76,92.4,107.67,85.82,0.94,0.0,0.0,0.0,0.0,0.0,30.63,0.0,0.0,0.0,0.0,0.0,0.0,554.13,95.39,580.91,5.65,0.0,0.0
37,GM Home,Plastic,Cleaning,Cleaning tools & brushes,GM Houseware,STR01,3489.81,0.0,0.0,0.0,0.42,0.44,1409.25,147.64,7083.17,-50.73,0.0,14.26,25.97,22.29,-11.71,65.01,57.82,0.12,0.0,-8.03,497.53,0.0,0.0,366.0,35.94,1578.64,-68.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,GM HARDLINES,Stationery,Coloring instruments,Colors paints & art accessories,GM Hardlines,STR01,425.9,634.8,67.09,-208.9,0.05,0.16,505.92,-15.82,136.61,211.76,21.96,15.53,30.0,25.3,-14.46,44.18,199.0,-0.78,70.75,-9.76,66.16,139.38,47.47,151.77,-56.41,34.56,91.44,0.0,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.53,0.0,0.0,0.0,0.0
39,GM HARDLINES,Stationery,Hobbies,Colors paints & art accessories,GM Hardlines,STR01,78.54,327.49,23.98,-248.95,0.01,0.07,233.25,-66.33,149.78,-47.56,18.75,18.51,21.08,41.25,-2.56,45.0,130.62,-0.66,98.71,-22.73,14.54,61.42,23.67,49.16,-70.42,61.78,-76.46,0.0,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31,0.0,0.0,0.0,0.0
40,GM Home,Utensils,Pressure cooker,Cookware,GM Houseware,STR01,624.11,3048.79,20.47,-2424.68,0.07,0.0,0.0,0.0,0.0,0.0,5.36,11.87,0.0,0.0,0.0,699.0,0.0,0.0,221.38,0.0,74.11,163.53,45.32,0.0,0.0,0.0,0.0,0.0,13.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.16,0.0,0.0,0.0,0.0
41,Food,FMCG NON FOOD,Baby body care,Creams lotions & oils,FMCG Non Food,STR01,585.48,1397.76,41.89,-812.28,0.07,0.08,245.69,138.3,599.87,-2.4,3.22,8.6,12.28,21.93,-3.68,172.72,144.96,0.19,266.83,-13.33,50.34,45.04,111.77,30.17,66.85,131.56,-61.74,0.0,6.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.57,0.0,0.0,0.0,0.0
42,Home Fashion,Home Fashion,Curtains,Curtains mattres & accessories,Home Fashion,STR01,0.0,2083.71,0.0,-2083.71,0.0,0.1,311.43,-100.0,3801.9,-100.0,21.28,0.0,-22.02,22.68,0.0,0.0,327.0,0.0,0.0,0.0,0.0,443.43,0.0,-68.57,-100.0,862.19,-100.0,0.0,9.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.31,0.0,0.0,0.0,0.0
43,Food,BAKERY DAIRY & FROZEN,Dairy,Dahi buttermilk & lassi,Bakery Dairy & Frozen,STR01,4530.26,0.0,0.0,0.0,0.54,0.74,2348.94,92.86,4059.67,11.59,0.0,6.76,8.17,11.23,-1.42,25.58,22.66,0.13,0.0,-4.47,306.1,0.0,0.0,191.98,59.44,455.9,-32.86,0.0,0.0,0.0,0.0,168.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-214.74,0.0,0.0,-4.74,0.0,0.0
44,Food,STAPLE,Basic pulses,Dal & pulses,Staple,STR01,13473.55,39899.81,33.77,-26426.26,1.62,1.79,5695.67,136.56,26600.05,-49.35,6.97,10.57,9.33,12.53,1.25,99.41,104.96,-0.05,151.78,-1.96,1424.38,2779.07,51.25,531.22,168.14,3332.92,-57.26,0.0,179.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.08,0.0,0.0,0.0,0.0
45,Food,STAPLE,Processed grains,Dal & pulses,Staple,STR01,1315.47,0.0,0.0,0.0,0.16,0.16,520.76,152.61,1493.81,-11.94,0.0,21.55,26.02,18.68,-4.46,70.89,88.1,-0.2,0.0,2.88,283.55,0.0,0.0,135.49,109.27,278.98,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Food,STAPLE,Secondary pulses,Dal & pulses,Staple,STR01,1081.83,1732.79,62.43,-650.96,0.13,0.21,660.95,63.68,2116.84,-48.89,9.65,12.01,13.02,10.58,-1.01,87.87,73.79,0.19,124.51,1.43,129.92,167.13,77.74,86.06,50.97,223.99,-41.99,0.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.91,0.0,0.0,0.0,0.0
47,Home Fashion,Home Fashion,Artifical flowers,Decor & gardening,Home Fashion,STR01,198.31,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,-31.11,0.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,-61.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Home Fashion,Home Fashion,Car & bike accessories,Decor & gardening,Home Fashion,STR01,149.37,1563.7,9.55,-1414.33,0.02,0.01,42.38,252.45,542.37,-72.46,10.54,0.37,0.9,26.25,-0.52,44.06,25.0,0.76,3.56,-25.87,0.56,164.83,0.34,0.38,47.37,142.37,-99.61,0.0,7.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.23,0.0,0.0,0.0,0.0
49,Home Fashion,Home Fashion,Decorations,Decor & gardening,Home Fashion,STR01,1797.33,1929.7,93.14,-132.37,0.22,0.17,549.15,227.29,2325.87,-22.72,23.19,-13.56,34.44,26.01,-48.0,124.76,216.0,-0.42,-58.45,-39.56,-243.67,447.57,-54.44,189.15,-228.82,604.87,-140.28,0.0,8.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69,0.0,0.0,0.0,0.0
50,Home Fashion,Home Fashion,Diy accessories,Decor & gardening,Home Fashion,STR01,591.54,0.0,0.0,0.0,0.07,0.0,0.0,0.0,842.4,-29.78,0.0,34.07,0.0,26.48,0.0,349.01,0.0,0.0,0.0,7.59,201.54,0.0,0.0,0.0,0.0,223.05,-9.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.8,0.0,0.0,31.24,0.0,0.0
51,Home Fashion,Home Fashion,Seasonal & festives,Decor & gardening,Home Fashion,STR01,3092.0,0.0,0.0,0.0,0.37,0.11,355.36,770.1,267.41,1056.28,0.0,25.03,29.32,27.08,-4.3,46.85,199.0,-0.76,0.0,-2.05,773.79,0.0,0.0,104.2,642.6,72.41,968.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Food,FMCG NON FOOD,Cleaning,Detergents & dishwash,FMCG Non Food,STR01,2457.32,19483.58,12.61,-17026.26,0.29,0.35,1114.8,120.43,10876.45,-77.41,1.27,-0.03,11.37,-1.61,-11.39,39.18,57.19,-0.31,-1.99,1.59,-0.62,247.53,-0.25,126.75,-100.49,-175.6,-99.65,0.0,87.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.68,0.0,0.0,0.0,0.0
